"CountSettlement","CountCity","CountRoad","SumWoodDiceWeight","SumBrickDiceWeight","SumPastureDiceWeight","SumStoneDiceWeight","SumGrainDiceWeight","CountPortWood","CountPortBrick","CountPortPasture","CountPortStone","CountPortGrain","CountHandWood","CountHandBrick","CountHandPasture","CountHandStone","CountHandGrain","CountDevCardsKnight","CountDevCardsMonopoly","CountDevCardsYearOfPlenty","CountDevCardsRoadBuilding","CountDevCardsVictoryPoint","CountVictoryPoint","WonGame"
2.0,0.0,10.0,0.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
5.0,0.0,14.0,4.0,6.0,7.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,5.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1.0,3.0,14.0,10.0,20.0,4.0,8.0,28.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,0.0,1.0,22.0,4.0,0.0,0.0,2.0,1.0,0.0,1
2.0,0.0,8.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0
